"order_id","order_date","status","fulfilment","sales_channel","ship_service_level","style","sku","category","size","asin","courier_status","quantity","currency","amount","ship_city","ship_state","ship_postal_code","ship_country","b2b"
"406-4233121-0052369","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","JNE3638","JNE3638-KR-XS","kurta","XS","B09814Q3QH","Shipped",1,"INR",517,"HYDERABAD","TELANGANA","500080.0","IN",FALSE
"402-9114074-1677112","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","SET286","SET286-KR-NP-XXXL","Set","3XL","B099NK23VT","Shipped",1,"INR",626,"Chennai","TAMIL NADU","600116.0","IN",FALSE
"402-0559879-3965952","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","JNE3718","JNE3718-KR-XXXL","kurta","3XL","B099NJ1WVX","Shipped",1,"INR",406,"Chennai","TAMIL NADU","600116.0","IN",FALSE
"408-3755405-6899551","2022-04-26","Shipped - Returned to Seller","Merchant","Amazon.in","Standard","JNE3795","JNE3795-KR-M","kurta","M","B09HMSF1D3","Shipped",1,"INR",517,"PATNA","BIHAR","800008.0","IN",FALSE
"403-0810655-9895514","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","JNE3399","JNE3399-KR-XL","kurta","XL","B082W8B28G","Shipped",1,"INR",435,"BENGALURU","KARNATAKA","560011.0","IN",FALSE
"407-3965479-3159562","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","J0284","J0284-SKD-XXXL","Set","3XL","B08QGKP8XG","Shipped",1,"INR",1200,"MUMBAI","MAHARASHTRA","400008.0","IN",FALSE
"171-8287670-2004346","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","SET048","SET048-KR-NP-S","Set","S","B07MY3KRFZ","Shipped",1,"INR",648,"BENGALURU","KARNATAKA","560045.0","IN",FALSE
"407-7788050-1741929","2022-04-26","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","J0382","J0382-SKD-XL","Set","XL","B09M6TRWRL","Shipped",1,"INR",1173,"KOHIMA","NAGALAND","797001.0","IN",FALSE
"171-3110449-9346712","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","JNE3799","JNE3799-KR-M","kurta","M","B09SDXL8S4","Shipped",1,"INR",666,"KOLKATA","WEST BENGAL","700038.0","IN",FALSE
"408-8459234-6297166","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","J0230","J0230-SKD-S","Set","S","B08XNJ19QH","Shipped",1,"INR",1112,"BHUBANESWAR","ODISHA","751025.0","IN",FALSE
"171-9663266-9993164","2022-04-26","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","J0217","J0217-BL-XXL","Blouse","XXL","B09KXXNGLB","Shipped",1,"INR",665,"BENGALURU","KARNATAKA","560100.0","IN",FALSE
"404-9211024-0580365","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","JNE3366","JNE3366-KR-1053-L","kurta","L","B07T65WM8Q","Shipped",1,"INR",376,"PURNIA","BIHAR","854301.0","IN",FALSE
"404-8333880-5592306","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","J0230","J0230-SKD-M","Set","M","B08XNJG8B1","Shipped",1,"INR",1112,"NEW DELHI","DELHI","110045.0","IN",FALSE
"404-4253864-4851567","2022-04-26","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","SET278","SET278-KR-NP-M","Set","M","B0983F3BLZ","Shipped",1,"INR",1432,"NEW DELHI","DELHI","110045.0","IN",FALSE
"404-6150204-9464315","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","SET131","SET131-KR-NP-XL","Set","XL","B07VSG55LR","Shipped",1,"INR",666,"Hyderbad","TELANGANA","500078.0","IN",FALSE
"404-2085477-8385110","2022-04-26","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","JNE2266","JNE2266-KR-490-A-XL","kurta","XL","B07H7BYHJQ","Shipped",1,"INR",368,"Hyderbad","TELANGANA","500078.0","IN",FALSE
"404-2085477-8385110","2022-04-26","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","JNE3761","JNE3761-KR-XL","kurta","XL","B099NM4XNX","Shipped",1,"INR",291,"Hyderbad","TELANGANA","500078.0","IN",FALSE
"404-2085477-8385110","2022-04-26","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","SET291","SET291-KR-PP-XL","Set","XL","B099NJV9X7","Shipped",1,"INR",599,"Hyderbad","TELANGANA","500078.0","IN",FALSE
"408-6126429-1729905","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","SET278","SET278-KR-NP-L","Set","L","B0983FZD5K","Shipped",1,"INR",0,"NEW DELHI","DELHI","110085.0","IN",FALSE
"407-6207281-9653960","2022-04-26","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","JNE3404","JNE3404-KR-M","kurta","M","B082W7T8ZY","Shipped",1,"INR",487,"New Delhi","DELHI","110058.0","IN",FALSE
"403-7199544-4181129","2022-04-26","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","J0280","J0280-SKD-S","Set","S","B08QGM7FCC","Shipped",1,"INR",1463,"JATANI","ODISHA","752050.0","IN",FALSE
"403-4829365-4477927","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","MEN5023","MEN5023-KR-XXL","kurta","XXL","B08YYZ1RYT","Shipped",1,"INR",549,"DEWA","UTTAR PRADESH","225301.0","IN",FALSE
"402-5174957-8962712","2022-04-26","Shipped - Returned to Seller","Merchant","Amazon.in","Standard","JNE3440","JNE3440-KR-N-XL","kurta","XL","B081WPK66G","Shipped",1,"INR",399,"UDMA","KERALA","671318.0","IN",FALSE
"402-6378082-7762738","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","J0349","J0349-SET-L","Set","L","B099NMQR6C","Shipped",1,"INR",801,"HYDERABAD","TELANGANA","500032.0","IN",FALSE
"405-5541113-3932363","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","JNE3399","JNE3399-KR-XL","kurta","XL","B082W8B28G","Shipped",1,"INR",435,"CHENNAI","TAMIL NADU","600119.0","IN",FALSE
"402-7480846-6440319","2022-04-26","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","SET110","SET110-KR-PP-XXXL","Set","3XL","B0822TCBKH","Shipped",1,"INR",788,"BENGALURU","KARNATAKA","560034.0","IN",FALSE
"407-8218968-2377966","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","J0176","J0176-TP-M","Top","M","B08N44JLV7","Shipped",1,"INR",387,"NEW DELHI","DELHI","110077.0","IN",FALSE
"406-6661039-9621960","2022-04-26","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","JNE3363","JNE3363-KR-1032-XXL","kurta","XXL","B07T62PKNM","Shipped",1,"INR",376,"KANCHEEPURAM","TAMIL NADU","631502.0","IN",FALSE
"402-2467670-8169965","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","JNE3465","JNE3465-KR-XL","kurta","XL","B08BF4PWCT","Shipped",1,"INR",517,"KODUNGALLUR","KERALA","680663.0","IN",FALSE
"402-2467670-8169965","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","JNE3756","JNE3756-KR-XL","kurta","XL","B099FC297C","Shipped",1,"INR",487,"KODUNGALLUR","KERALA","680663.0","IN",FALSE
